scenario,concurrency,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
scenario,concurrency,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
direct,10,7515,0,127.08350573362404,47.95032432551464,37,120,130
direct,50,37460,0,633.9308147398239,48.46141956378096,37,120,130
direct,100,73709,1,1247.7351346051214,49.73511731994742,37,120,130
direct,200,144984,0,2455.2215128912026,51.03890715518431,38,120,130
one-hop,10,9410,0,159.13351222594866,31.999495190583858,22,98,110
one-hop,50,45647,0,773.0784602579065,34.20228313061228,23,100,120
one-hop,100,56950,0,963.3052082594862,73.25762672063422,67,160,200
one-hop,200,64656,0,1091.6701150963224,152.22716370848718,160,270,350
